4 [2] LN:i:9424 RC:i:1,45 [22] LN:i:10192 RC:i:1,1,64 4 0
44 [22] LN:i:10192 RC:i:1,5 [2] LN:i:9424 RC:i:1,1,65 772 0
4 [2] LN:i:9424 RC:i:1,51 [25] LN:i:10320 RC:i:1,1,66 8495 0
50 [25] LN:i:10320 RC:i:1,5 [2] LN:i:9424 RC:i:1,1,67 9401 0
55 [27] LN:i:9424 RC:i:1,4 [2] LN:i:9424 RC:i:1,1,68 169 0
5 [2] LN:i:9424 RC:i:1,54 [27] LN:i:9424 RC:i:1,1,69 55 0
6 [3] LN:i:9696 RC:i:1,9 [4] LN:i:8704 RC:i:1,1,70 5835 0
8 [4] LN:i:8704 RC:i:1,7 [3] LN:i:9696 RC:i:1,1,71 5028 0
20 [10] LN:i:9040 RC:i:1,6 [3] LN:i:9696 RC:i:1,1,72 4990 0
7 [3] LN:i:9696 RC:i:1,21 [10] LN:i:9040 RC:i:1,1,73 5284 0
6 [3] LN:i:9696 RC:i:1,22 [11] LN:i:11568 RC:i:1,1,74 7315 0
23 [11] LN:i:11568 RC:i:1,7 [3] LN:i:9696 RC:i:1,1,75 9335 0
26 [13] LN:i:9760 RC:i:1,6 [3] LN:i:9696 RC:i:1,1,76 4451 0
7 [3] LN:i:9696 RC:i:1,27 [13] LN:i:9760 RC:i:1,1,77 3654 0
28 [14] LN:i:9904 RC:i:1,6 [3] LN:i:9696 RC:i:1,1,78 5724 0
7 [3] LN:i:9696 RC:i:1,29 [14] LN:i:9904 RC:i:1,1,79 5395 0
6 [3] LN:i:9696 RC:i:1,30 [15] LN:i:7792 RC:i:1,1,80 4270 0
31 [15] LN:i:7792 RC:i:1,7 [3] LN:i:9696 RC:i:1,1,81 2983 0
32 [16] LN:i:11328 RC:i:1,6 [3] LN:i:9696 RC:i:1,1,82 2954 0
7 [3] LN:i:9696 RC:i:1,33 [16] LN:i:11328 RC:i:1,1,83 952 0
35 [17] LN:i:9792 RC:i:1,6 [3] LN:i:9696 RC:i:1,1,84 796 0
7 [3] LN:i:9696 RC:i:1,34 [17] LN:i:9792 RC:i:1,1,85 755 0
37 [18] LN:i:11600 RC:i:1,6 [3] LN:i:9696 RC:i:1,1,86 3849 0
7 [3] LN:i:9696 RC:i:1,36 [18] LN:i:11600 RC:i:1,1,87 1436 0
45 [22] LN:i:10192 RC:i:1,6 [3] LN:i:9696 RC:i:1,1,88 7913 0
7 [3] LN:i:9696 RC:i:1,44 [22] LN:i:10192 RC:i:1,1,89 7481 0
6 [3] LN:i:9696 RC:i:1,46 [23] LN:i:8576 RC:i:1,1,90 3788 0
47 [23] LN:i:8576 RC:i:1,7 [3] LN:i:9696 RC:i:1,1,91 2938 0
6 [3] LN:i:9696 RC:i:1,51 [25] LN:i:10320 RC:i:1,1,92 554 0
50 [25] LN:i:10320 RC:i:1,7 [3] LN:i:9696 RC:i:1,1,93 1294 0
55 [27] LN:i:9424 RC:i:1,6 [3] LN:i:9696 RC:i:1,1,94 7986 0
7 [3] LN:i:9696 RC:i:1,54 [27] LN:i:9424 RC:i:1,1,95 8280 0
23 [11] LN:i:11568 RC:i:1,8 [4] LN:i:8704 RC:i:1,1,96 4498 0
9 [4] LN:i:8704 RC:i:1,22 [11] LN:i:11568 RC:i:1,1,97 1434 0
8 [4] LN:i:8704 RC:i:1,31 [15] LN:i:7792 RC:i:1,1,98 1804 0
30 [15] LN:i:7792 RC:i:1,9 [4] LN:i:8704 RC:i:1,1,99 1372 0
8 [4] LN:i:8704 RC:i:1,33 [16] LN:i:11328 RC:i:1,1,100 5901 0
32 [16] LN:i:11328 RC:i:1,9 [4] LN:i:8704 RC:i:1,1,101 8635 0
8 [4] LN:i:8704 RC:i:1,34 [17] LN:i:9792 RC:i:1,1,102 5723 0
35 [17] LN:i:9792 RC:i:1,9 [4] LN:i:8704 RC:i:1,1,103 6631 0
8 [4] LN:i:8704 RC:i:1,36 [18] LN:i:11600 RC:i:1,1,104 6388 0
37 [18] LN:i:11600 RC:i:1,9 [4] LN:i:8704 RC:i:1,1,105 9392 0
8 [4] LN:i:8704 RC:i:1,47 [23] LN:i:8576 RC:i:1,1,106 2112 0
46 [23] LN:i:8576 RC:i:1,9 [4] LN:i:8704 RC:i:1,1,107 1912 0
8 [4] LN:i:8704 RC:i:1,50 [25] LN:i:10320 RC:i:1,1,108 3737 0
51 [25] LN:i:10320 RC:i:1,9 [4] LN:i:8704 RC:i:1,1,109 5210 0
